,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
124,5303090,Goldendale School District,Goldendale High School,150.0,88.0,69.0,60.0,68.0,,,,285.0,0.5263157894736842
125,5303130,Grand Coulee Dam School District,Lake Roosevelt Jr/Sr High School,233.0,65.0,48.0,52.0,56.0,,,,340.0,0.6852941176470588
126,5303150,Grandview School District,Grandview High School,850.0,301.0,253.0,259.0,233.0,,,,1046.0,0.8126195028680688
127,5303180,Granger School District,Granger High School,382.0,112.0,126.0,115.0,98.0,,,,451.0,0.8470066518847007
128,5303210,Granite Falls School District,Granite Falls High School,182.0,151.0,108.0,137.0,111.0,,,,507.0,0.358974358974359
129,5303210,Granite Falls School District,Crossroads High School,79.0,8.0,18.0,34.0,62.0,,,,122.0,0.6475409836065574
130,5303510,Highland School District,Highland High School,290.0,97.0,91.0,99.0,73.0,,,,360.0,0.8055555555555556
131,5303540,Highline School District,Evergreen High School,843.0,275.0,265.0,257.0,276.0,,,,1073.0,0.7856477166821995
132,5303540,Highline School District,Highline High School,730.0,294.0,251.0,235.0,257.0,,,,1037.0,0.703953712632594
133,5303540,Highline School District,Mount Rainier High School,1031.0,438.0,494.0,429.0,406.0,,,,1767.0,0.5834748160724391
134,5303540,Highline School District,Tyee High School,679.0,186.0,203.0,201.0,244.0,,,,834.0,0.8141486810551559
135,5303540,Highline School District,CHOICE Academy,80.0,28.0,28.0,28.0,26.0,,,,196.0,0.40816326530612246
136,5303540,Highline School District,New Start,123.0,2.0,17.0,34.0,106.0,,,,159.0,0.7735849056603774
137,5303540,Highline School District,Raisbeck Aviation High School,113.0,104.0,104.0,103.0,99.0,,,,410.0,0.275609756097561
138,5303540,Highline School District,Big Picture School,111.0,36.0,31.0,26.0,21.0,,,,218.0,0.5091743119266054
139,5303540,Highline School District,Highline Open Doors 1418,110.0,1.0,4.0,15.0,270.0,,,,290.0,0.3793103448275862
140,5303570,Hockinson School District,Hockinson High School,106.0,167.0,165.0,169.0,159.0,,,,660.0,0.1606060606060606
141,5303660,Hoquiam School District,Hoquiam High School,275.0,118.0,115.0,108.0,106.0,,,,447.0,0.6152125279642058
142,5303750,Issaquah School District,Issaquah High School,221.0,640.0,635.0,614.0,615.0,,,,2504.0,0.08825878594249201
143,5303750,Issaquah School District,Liberty Sr High School,168.0,402.0,345.0,369.0,393.0,,,,1509.0,0.11133200795228629
144,5303750,Issaquah School District,Skyline High School,85.0,540.0,571.0,552.0,539.0,,,,2202.0,0.03860127157129882
145,5303750,Issaquah School District,Gibson Ek High School,12.0,45.0,39.0,37.0,41.0,,,,162.0,0.07407407407407407
146,5303810,Kalama School District,Kalama High School,94.0,87.0,84.0,76.0,85.0,,,,332.0,0.28313253012048195
147,5303930,Kennewick School District,Kamiakin High School,757.0,499.0,473.0,419.0,440.0,,,,1831.0,0.4134352812670672
148,5303930,Kennewick School District,Kennewick High School,1106.0,458.0,376.0,424.0,387.0,,,,1645.0,0.6723404255319149
149,5303930,Kennewick School District,Southridge High School,917.0,454.0,457.0,431.0,422.0,,,,1764.0,0.5198412698412699
150,5303930,Kennewick School District,Legacy High School,115.0,8.0,18.0,35.0,99.0,,,,168.0,0.6845238095238095
151,5303960,Kent School District,Kent-Meridian High School,1452.0,582.0,500.0,475.0,486.0,,,,2043.0,0.71071953010279
152,5303960,Kent School District,Kentridge High School,668.0,532.0,472.0,539.0,459.0,,,,2002.0,0.3336663336663337
153,5303960,Kent School District,Kentwood High School,750.0,480.0,418.0,505.0,437.0,,,,1840.0,0.4076086956521739
154,5303960,Kent School District,Kentlake High School,652.0,389.0,382.0,374.0,353.0,,,,1498.0,0.43524699599465955
155,5303960,Kent School District,Kent Phoenix Academy,100.0,18.0,39.0,64.0,108.0,,,,229.0,0.4366812227074236
156,5303960,Kent School District,Individualized Graduation & Degree Program,157.0,0.0,0.0,14.0,257.0,,,,271.0,0.5793357933579336
157,5303990,Kettle Falls School District,Kettle Falls High School,139.0,72.0,58.0,72.0,56.0,,,,258.0,0.5387596899224806
158,5303990,Kettle Falls School District,Columbia Virtual Academy - Kettle Falls,49.0,117.0,127.0,60.0,67.0,,,,371.0,0.1320754716981132
159,5304020,Kiona-Benton City School District,Kiona-Benton City High School,274.0,110.0,86.0,91.0,110.0,,,,399.0,0.6867167919799498
160,5304050,Kittitas School District,Kittitas High School,182.0,58.0,52.0,51.0,73.0,,,,377.0,0.4827586206896552
161,5304110,La Conner School District,La Conner High School,123.0,50.0,52.0,65.0,68.0,,,,235.0,0.5234042553191489
162,5304170,La Center School District,La Center High School,100.0,125.0,126.0,133.0,117.0,,,,501.0,0.1996007984031936
163,5304200,Lake Stevens School District,Lake Stevens Sr High School,451.0,,732.0,660.0,642.0,,,,2034.0,0.22173058013765978
164,5304230,Lake Washington School District,Juanita High School,324.0,420.0,420.0,377.0,354.0,,,,1571.0,0.20623806492679822
165,5304230,Lake Washington School District,Lake Washington High School,238.0,557.0,454.0,436.0,451.0,,,,1898.0,0.12539515279241306
166,5304230,Lake Washington School District,Redmond High School,270.0,539.0,545.0,553.0,509.0,,,,2146.0,0.12581547064305684
167,5304230,Lake Washington School District,Eastlake High School,78.0,551.0,585.0,550.0,547.0,,,,2233.0,0.03493058665472459
168,5304230,Lake Washington School District,International Community School,13.0,41.0,53.0,45.0,50.0,,,,412.0,0.03155339805825243
169,5304230,Lake Washington School District,Nikola Tesla STEM High School,10.0,161.0,157.0,146.0,142.0,,,,606.0,0.0165016501650165
170,5304260,Lakewood School District,Lakewood High School,279.0,229.0,182.0,214.0,166.0,,,,791.0,0.3527180783817952
171,5304380,Liberty School District,Liberty High School,57.0,49.0,41.0,44.0,51.0,,,,185.0,0.3081081081081081
172,5304470,Longview School District,Mark Morris High School,404.0,245.0,220.0,207.0,205.0,,,,877.0,0.4606613454960091
173,5304470,Longview School District,R A Long High School,579.0,262.0,228.0,210.0,199.0,,,,899.0,0.6440489432703004
174,5304470,Longview School District,Discovery High School,74.0,0.0,12.0,15.0,73.0,,,,100.0,0.74
175,5304530,Lopez School District,Lopez Middle High School,62.0,17.0,19.0,17.0,9.0,,,,129.0,0.4806201550387597
176,5304560,Riverview School District,Cedarcrest High School,103.0,243.0,259.0,201.0,244.0,,,,947.0,0.10876451953537487
177,5304620,Lynden School District,Lynden High School,283.0,249.0,234.0,250.0,253.0,,,,986.0,0.2870182555780933
178,5304650,Mabton School District,Mabton Jr. Sr. High,337.0,70.0,54.0,69.0,48.0,,,,374.0,0.9010695187165776
179,5304740,Manson School District,Manson High School,138.0,63.0,45.0,52.0,56.0,,,,216.0,0.6388888888888888
180,5304830,Mary Walker School District,Mary Walker High School,98.0,33.0,33.0,32.0,26.0,,,,124.0,0.7903225806451613
181,5304860,Marysville School District,Legacy High School,153.0,44.0,83.0,75.0,83.0,,,,285.0,0.5368421052631579
182,5304860,Marysville School District,Marysville Pilchuck High School,568.0,303.0,283.0,281.0,272.0,,,,1139.0,0.4986830553116769
183,5304860,Marysville School District,Marysville NWESD 189 Youth Engagement,49.0,,0.0,13.0,88.0,,,,101.0,0.48514851485148514
184,5304860,Marysville School District,Marysville Getchell High School,539.0,390.0,399.0,327.0,365.0,,,,1481.0,0.3639432815665091
185,5304920,Mead School District,Mead Senior High School,297.0,448.0,428.0,448.0,423.0,,,,1747.0,0.1700057240984545
