LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5301080,Central Kitsap School District,Central Kitsap High School,12,326.0,0.18
5301080,Central Kitsap School District,Central Kitsap High School,AE,,0.18
5301080,Central Kitsap School District,Central Kitsap High School,UG,,0.18
5301080,Central Kitsap School District,Klahowya Secondary,09,137.0,0.18
5301080,Central Kitsap School District,Klahowya Secondary,10,143.0,0.18
5301080,Central Kitsap School District,Klahowya Secondary,11,126.0,0.18
5301080,Central Kitsap School District,Klahowya Secondary,12,139.0,0.18
5301080,Central Kitsap School District,Klahowya Secondary,AE,,0.18
5301080,Central Kitsap School District,Klahowya Secondary,UG,,0.18
5301080,Central Kitsap School District,Olympic High School,09,265.0,0.18
5301080,Central Kitsap School District,Olympic High School,10,284.0,0.18
5301080,Central Kitsap School District,Olympic High School,11,243.0,0.18
5301080,Central Kitsap School District,Olympic High School,12,261.0,0.18
5301080,Central Kitsap School District,Olympic High School,AE,,0.18
5301080,Central Kitsap School District,Olympic High School,UG,,0.18
5301110,Central Valley School District,Central Valley High School,09,610.0,0.257
5301110,Central Valley School District,Central Valley High School,10,571.0,0.257
5301110,Central Valley School District,Central Valley High School,11,566.0,0.257
5301110,Central Valley School District,Central Valley High School,12,538.0,0.257
5301110,Central Valley School District,Central Valley High School,AE,,0.257
5301110,Central Valley School District,Central Valley High School,UG,,0.257
5301110,Central Valley School District,Mica Peak High School,09,15.0,0.257
5301110,Central Valley School District,Mica Peak High School,10,20.0,0.257
5301110,Central Valley School District,Mica Peak High School,11,53.0,0.257
5301110,Central Valley School District,Mica Peak High School,12,52.0,0.257
5301110,Central Valley School District,Mica Peak High School,AE,,0.257
5301110,Central Valley School District,Mica Peak High School,UG,,0.257
5301110,Central Valley School District,Stem Academy at SVT,09,47.0,0.257
5301110,Central Valley School District,Stem Academy at SVT,10,49.0,0.257
5301110,Central Valley School District,Stem Academy at SVT,11,35.0,0.257
5301110,Central Valley School District,Stem Academy at SVT,12,42.0,0.257
5301110,Central Valley School District,Stem Academy at SVT,AE,,0.257
5301110,Central Valley School District,Stem Academy at SVT,UG,,0.257
